0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.03,0.05,0.08,0.11,0.14,0.17,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.40,0.43,0.46,0.49,0.52,0.55,0.59,0.62,0.65,0.68,0.72,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,1.00,1.03,1.06,1.09,1.11,1.14,1.16,1.18,1.20,1.22,1.24,1.25,1.26,1.27,1.28,1.29,1.29,1.29,1.28,1.28,1.27,1.26,1.25,1.24,1.22,1.20,1.18,1.16,1.14,1.11,1.08,1.06,1.03,1.00,0.97,0.94,0.91,0.87,0.84,0.81,0.78,0.74,0.71,0.68,0.65,0.61,0.58,0.55,0.52,0.49,0.46,0.43,0.40,0.37,0.34,0.31,0.28,0.25,0.22,0.19,0.16,0.14,0.11,0.08,0.05,0.03,0.00,
0.00,0.05,0.11,0.16,0.22,0.28,0.33,0.39,0.44,0.50,0.56,0.62,0.68,0.74,0.80,0.86,0.92,0.98,1.04,1.11,1.17,1.24,1.30,1.37,1.43,1.50,1.56,1.63,1.69,1.76,1.82,1.89,1.95,2.01,2.07,2.12,2.18,2.23,2.28,2.33,2.37,2.41,2.45,2.48,2.51,2.53,2.55,2.56,2.57,2.58,2.58,2.57,2.56,2.55,2.53,2.50,2.48,2.44,2.41,2.37,2.32,2.27,2.22,2.17,2.12,2.06,2.00,1.94,1.88,1.81,1.75,1.69,1.62,1.55,1.49,1.42,1.36,1.29,1.23,1.16,1.10,1.04,0.97,0.91,0.85,0.79,0.73,0.67,0.61,0.55,0.50,0.44,0.38,0.33,0.27,0.22,0.16,0.11,0.05,0.00,
0.00,0.08,0.16,0.25,0.33,0.41,0.50,0.58,0.67,0.75,0.84,0.93,1.01,1.10,1.19,1.29,1.38,1.47,1.57,1.66,1.76,1.85,1.95,2.05,2.15,2.25,2.35,2.45,2.54,2.64,2.74,2.83,2.93,3.02,3.11,3.19,3.27,3.35,3.43,3.50,3.56,3.62,3.68,3.73,3.77,3.80,3.83,3.85,3.87,3.88,3.87,3.87,3.85,3.83,3.80,3.76,3.72,3.67,3.62,3.55,3.49,3.42,3.34,3.26,3.18,3.09,3.00,2.91,2.82,2.72,2.63,2.53,2.43,2.33,2.24,2.14,2.04,1.94,1.84,1.75,1.65,1.56,1.46,1.37,1.28,1.19,1.10,1.01,0.92,0.83,0.75,0.66,0.58,0.49,0.41,0.33,0.25,0.16,0.08,0.00,
0.00,0.11,0.22,0.33,0.44,0.55,0.66,0.78,0.89,1.00,1.12,1.24,1.35,1.47,1.59,1.72,1.84,1.96,2.09,2.22,2.35,2.47,2.61,2.74,2.87,3.00,3.13,3.26,3.40,3.53,3.66,3.78,3.91,4.03,4.15,4.26,4.37,4.48,4.58,4.68,4.76,4.84,4.92,4.98,5.04,5.09,5.12,5.15,5.17,5.18,5.18,5.17,5.15,5.12,5.08,5.03,4.97,4.91,4.83,4.75,4.66,4.57,4.47,4.36,4.25,4.13,4.01,3.89,3.77,3.64,3.51,3.38,3.25,3.12,2.98,2.85,2.72,2.59,2.46,2.33,2.20,2.08,1.95,1.83,1.70,1.58,1.46,1.34,1.23,1.11,1.00,0.88,0.77,0.66,0.55,0.44,0.33,0.22,0.11,0.00,
0.00,0.14,0.27,0.41,0.55,0.69,0.83,0.97,1.11,1.25,1.40,1.54,1.69,1.84,1.99,2.15,2.30,2.46,2.61,2.77,2.93,3.10,3.26,3.42,3.59,3.76,3.92,4.09,4.25,4.42,4.58,4.74,4.89,5.05,5.20,5.34,5.48,5.62,5.74,5.86,5.97,6.08,6.17,6.25,6.32,6.38,6.43,6.47,6.49,6.50,6.50,6.49,6.46,6.42,6.37,6.31,6.24,6.16,6.06,5.96,5.85,5.73,5.60,5.46,5.32,5.18,5.03,4.87,4.72,4.56,4.39,4.23,4.07,3.90,3.73,3.57,3.40,3.24,3.08,2.92,2.76,2.60,2.44,2.28,2.13,1.98,1.83,1.68,1.53,1.39,1.24,1.10,0.96,0.82,0.68,0.55,0.41,0.27,0.14,0.00,
0.00,0.16,0.33,0.49,0.66,0.83,0.99,1.16,1.33,1.51,1.68,1.85,2.03,2.21,2.39,2.58,2.76,2.95,3.14,3.33,3.53,3.72,3.92,4.12,4.32,4.51,4.71,4.91,5.11,5.31,5.51,5.70,5.89,6.08,6.26,6.43,6.60,6.76,6.92,7.06,7.20,7.32,7.43,7.53,7.62,7.69,7.75,7.80,7.82,7.84,7.84,7.82,7.79,7.74,7.68,7.61,7.52,7.42,7.30,7.18,7.04,6.90,6.74,6.58,6.41,6.23,6.05,5.87,5.67,5.48,5.29,5.09,4.89,4.69,4.49,4.29,4.09,3.89,3.70,3.50,3.31,3.12,2.93,2.74,2.56,2.38,2.19,2.02,1.84,1.67,1.49,1.32,1.15,0.99,0.82,0.66,0.49,0.33,0.16,0.00,
0.00,0.19,0.38,0.58,0.77,0.96,1.16,1.36,1.56,1.76,1.96,2.16,2.37,2.58,2.79,3.01,3.22,3.44,3.67,3.89,4.12,4.35,4.58,4.81,5.04,5.28,5.51,5.75,5.98,6.21,6.44,6.67,6.89,7.11,7.33,7.53,7.73,7.92,8.10,8.28,8.43,8.58,8.71,8.83,8.93,9.02,9.09,9.14,9.18,9.20,9.19,9.18,9.14,9.08,9.01,8.92,8.82,8.70,8.56,8.41,8.25,8.08,7.90,7.71,7.51,7.30,7.08,6.86,6.64,6.41,6.18,5.95,5.72,5.48,5.25,5.01,4.78,4.55,4.32,4.09,3.87,3.64,3.42,3.20,2.99,2.77,2.56,2.35,2.15,1.94,1.74,1.54,1.35,1.15,0.96,0.76,0.57,0.38,0.19,0.00,
0.00,0.22,0.44,0.66,0.88,1.10,1.33,1.55,1.78,2.01,2.24,2.48,2.71,2.95,3.19,3.44,3.69,3.94,4.20,4.45,4.71,4.98,5.24,5.51,5.78,6.05,6.32,6.59,6.85,7.12,7.39,7.65,7.91,8.16,8.41,8.65,8.88,9.10,9.31,9.51,9.69,9.86,10.01,10.15,10.27,10.37,10.45,10.52,10.56,10.58,10.57,10.55,10.51,10.44,10.36,10.26,10.14,10.00,9.84,9.67,9.48,9.28,9.07,8.85,8.62,8.37,8.13,7.87,7.61,7.35,7.09,6.82,6.55,6.28,6.01,5.74,5.47,5.21,4.94,4.68,4.42,4.17,3.91,3.66,3.42,3.17,2.93,2.69,2.46,2.22,1.99,1.77,1.54,1.32,1.09,0.87,0.65,0.44,0.22,0.00,
0.00,0.25,0.49,0.74,0.99,1.24,1.49,1.75,2.00,2.26,2.52,2.79,3.05,3.32,3.60,3.87,4.15,4.44,4.73,5.02,5.31,5.61,5.91,6.21,6.51,6.82,7.12,7.43,7.74,8.04,8.34,8.64,8.93,9.22,9.50,9.77,10.04,10.29,10.53,10.76,10.97,11.16,11.34,11.50,11.63,11.75,11.84,11.91,11.96,11.98,11.98,11.96,11.91,11.83,11.74,11.62,11.48,11.32,11.14,10.94,10.73,10.50,10.26,10.00,9.74,9.46,9.18,8.89,8.60,8.30,8.00,7.70,7.39,7.08,6.78,6.47,6.17,5.87,5.57,5.28,4.98,4.69,4.41,4.13,3.85,3.57,3.30,3.03,2.77,2.50,2.24,1.99,1.73,1.48,1.23,0.98,0.74,0.49,0.24,0.00,
