0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.17,0.34,0.51,0.68,0.85,1.01,1.18,1.34,1.50,1.66,1.81,1.95,2.08,2.21,2.31,2.41,2.48,2.54,2.58,2.61,2.62,2.61,2.58,2.55,2.50,2.44,2.37,2.30,2.22,2.14,2.06,1.97,1.89,1.81,1.74,1.67,1.60,1.53,1.47,1.42,1.36,1.31,1.27,1.22,1.18,1.14,1.11,1.08,1.04,1.02,0.99,0.96,0.94,0.92,0.90,0.88,0.86,0.84,0.82,0.80,0.79,0.77,0.75,0.74,0.72,0.70,0.69,0.67,0.65,0.64,0.62,0.60,0.59,0.57,0.55,0.53,0.51,0.49,0.47,0.45,0.43,0.41,0.39,0.37,0.34,0.32,0.30,0.27,0.25,0.23,0.20,0.18,0.15,0.13,0.10,0.08,0.05,0.03,0.00,
0.00,0.34,0.68,1.02,1.35,1.69,2.03,2.36,2.69,3.01,3.33,3.63,3.91,4.18,4.42,4.64,4.83,4.98,5.10,5.18,5.23,5.25,5.23,5.18,5.11,5.01,4.89,4.75,4.60,4.44,4.28,4.11,3.95,3.78,3.63,3.48,3.33,3.19,3.06,2.94,2.83,2.72,2.62,2.53,2.44,2.36,2.29,2.21,2.15,2.09,2.03,1.98,1.93,1.88,1.84,1.79,1.75,1.72,1.68,1.64,1.61,1.57,1.54,1.51,1.47,1.44,1.41,1.38,1.34,1.31,1.28,1.24,1.21,1.17,1.14,1.10,1.06,1.02,0.98,0.94,0.90,0.86,0.82,0.78,0.73,0.69,0.64,0.60,0.55,0.50,0.45,0.40,0.35,0.30,0.25,0.20,0.15,0.10,0.05,0.00,
0.00,0.51,1.02,1.52,2.03,2.54,3.04,3.55,4.04,4.53,5.01,5.46,5.90,6.30,6.67,7.00,7.28,7.51,7.69,7.82,7.89,7.91,7.89,7.81,7.69,7.54,7.35,7.14,6.91,6.67,6.42,6.17,5.92,5.67,5.44,5.21,4.99,4.78,4.59,4.41,4.24,4.07,3.93,3.79,3.66,3.54,3.42,3.32,3.22,3.13,3.05,2.97,2.89,2.82,2.75,2.69,2.63,2.57,2.52,2.46,2.41,2.36,2.31,2.26,2.21,2.16,2.12,2.07,2.02,1.97,1.92,1.87,1.81,1.76,1.71,1.65,1.60,1.54,1.48,1.42,1.36,1.30,1.23,1.17,1.10,1.03,0.96,0.89,0.82,0.75,0.68,0.61,0.53,0.46,0.38,0.31,0.23,0.15,0.08,0.00,
0.00,0.68,1.35,2.03,2.71,3.39,4.07,4.74,5.41,6.06,6.70,7.32,7.91,8.46,8.96,9.40,9.78,10.10,10.34,10.51,10.61,10.63,10.59,10.48,10.31,10.10,9.84,9.55,9.23,8.90,8.56,8.22,7.88,7.55,7.24,6.93,6.64,6.36,6.10,5.86,5.63,5.42,5.22,5.04,4.87,4.71,4.56,4.42,4.29,4.17,4.06,3.95,3.85,3.76,3.67,3.59,3.51,3.43,3.36,3.29,3.22,3.15,3.08,3.02,2.95,2.89,2.83,2.76,2.70,2.63,2.56,2.49,2.42,2.35,2.28,2.21,2.13,2.06,1.98,1.90,1.82,1.73,1.65,1.56,1.47,1.38,1.29,1.20,1.10,1.01,0.91,0.81,0.71,0.61,0.51,0.41,0.31,0.21,0.10,0.00,
0.00,0.85,1.69,2.54,3.39,4.24,5.09,5.94,6.78,7.61,8.42,9.21,9.96,10.66,11.30,11.87,12.36,12.76,13.06,13.28,13.39,13.42,13.35,13.21,12.99,12.70,12.36,11.98,11.57,11.15,10.71,10.28,9.85,9.43,9.03,8.64,8.28,7.93,7.61,7.30,7.02,6.75,6.51,6.28,6.07,5.87,5.68,5.51,5.35,5.20,5.06,4.93,4.81,4.70,4.59,4.48,4.39,4.29,4.20,4.11,4.03,3.94,3.86,3.78,3.70,3.62,3.54,3.46,3.38,3.29,3.21,3.13,3.04,2.95,2.86,2.77,2.67,2.58,2.48,2.38,2.28,2.17,2.07,1.96,1.85,1.73,1.62,1.50,1.38,1.26,1.14,1.02,0.89,0.77,0.64,0.51,0.39,0.26,0.13,0.00,
0.00,1.01,2.03,3.04,4.07,5.09,6.12,7.14,8.16,9.18,10.17,11.14,12.06,12.92,13.71,14.42,15.02,15.51,15.88,16.13,16.27,16.29,16.20,16.01,15.72,15.36,14.93,14.45,13.94,13.40,12.86,12.32,11.80,11.29,10.80,10.33,9.89,9.48,9.09,8.73,8.39,8.07,7.78,7.51,7.25,7.02,6.80,6.60,6.41,6.23,6.07,5.91,5.77,5.63,5.50,5.38,5.26,5.15,5.04,4.94,4.84,4.74,4.64,4.54,4.45,4.35,4.26,4.16,4.06,3.96,3.86,3.76,3.66,3.55,3.44,3.33,3.22,3.11,2.99,2.87,2.74,2.62,2.49,2.36,2.22,2.09,1.95,1.81,1.67,1.52,1.37,1.23,1.08,0.92,0.77,0.62,0.46,0.31,0.16,0.00,
0.00,1.18,2.36,3.55,4.74,5.94,7.14,8.35,9.56,10.76,11.95,13.10,14.21,15.26,16.22,17.07,17.79,18.38,18.82,19.11,19.26,19.28,19.15,18.91,18.54,18.09,17.55,16.95,16.32,15.67,15.01,14.37,13.74,13.13,12.55,12.01,11.49,11.01,10.56,10.13,9.74,9.38,9.04,8.72,8.43,8.16,7.91,7.68,7.46,7.26,7.07,6.89,6.72,6.57,6.42,6.28,6.14,6.01,5.89,5.77,5.65,5.54,5.43,5.31,5.20,5.09,4.98,4.87,4.76,4.64,4.52,4.41,4.28,4.16,4.04,3.91,3.77,3.64,3.50,3.36,3.22,3.07,2.92,2.76,2.61,2.45,2.29,2.12,1.95,1.78,1.61,1.44,1.26,1.08,0.91,0.73,0.55,0.36,0.18,0.00,
0.00,1.34,2.69,4.04,5.41,6.78,8.16,9.56,10.96,12.36,13.75,15.12,16.44,17.68,18.83,19.84,20.70,21.39,21.90,22.23,22.40,22.40,22.23,21.92,21.46,20.89,20.22,19.49,18.72,17.94,17.16,16.39,15.65,14.95,14.28,13.65,13.06,12.51,11.99,11.52,11.07,10.66,10.28,9.92,9.59,9.29,9.01,8.74,8.50,8.27,8.06,7.86,7.68,7.50,7.33,7.17,7.02,6.88,6.74,6.60,6.47,6.34,6.22,6.09,5.96,5.84,5.71,5.58,5.46,5.32,5.19,5.06,4.92,4.78,4.63,4.49,4.34,4.18,4.02,3.86,3.70,3.53,3.35,3.18,3.00,2.81,2.63,2.44,2.25,2.05,1.85,1.65,1.45,1.25,1.04,0.83,0.63,0.42,0.21,0.00,
0.00,1.50,3.01,4.53,6.06,7.61,9.18,10.76,12.36,13.97,15.58,17.18,18.73,20.21,21.57,22.77,23.78,24.58,25.16,25.53,25.70,25.68,25.46,25.07,24.50,23.79,22.97,22.07,21.14,20.21,19.29,18.40,17.54,16.74,15.98,15.26,14.60,13.98,13.40,12.87,12.37,11.92,11.49,11.10,10.74,10.40,10.09,9.80,9.53,9.28,9.05,8.83,8.62,8.43,8.25,8.07,7.91,7.75,7.59,7.44,7.30,7.15,7.01,6.87,6.73,6.59,6.45,6.31,6.16,6.02,5.87,5.72,5.56,5.40,5.24,5.08,4.91,4.73,4.55,4.37,4.18,3.99,3.80,3.60,3.39,3.19,2.98,2.76,2.54,2.32,2.10,1.87,1.64,1.41,1.18,0.95,0.71,0.47,0.24,0.00,
